id	author	auathor (sort)	title	title (sort)	date	size in words
plato-charmides-645	Plato	Plato	Charmides, Or Temperance	Charmides, Or Temperance	-380	10662
conrad-heart-708	Joseph Conrad	Conrad, Joseph	The Heart Of Darkness	Heart Of Darkness	1902	39009
burroughs-beasts-699	Edgar Rice Burroughs	Burroughs, Edgar Rice	The Beasts Of Tarzan	Beasts Of Tarzan	1914	64448
cooper-pathfinder-1826	James Fenimore Cooper	Cooper, James Fenimore	The Pathfinder or, The Inland Sea	Pathfinder or, The Inland Sea	1826	178886
machiavelli-prince-680	Niccolo Machiavelli	Machiavelli, Niccolo	The Prince	Prince	1515	30434
poe-cask-641	Edgar Allan Poe	Poe, Edgar Allan	The Cask Of Amontillado	Cask Of Amontillado	1846	2342
homer-odyssey-850	Homer	Homer	The Odyssey	Odyssey	-850	118228
burroughs-return-704	Edgar Rice Burroughs	Burroughs, Edgar Rice	The Return Of Tarzan	Return Of Tarzan	1913	90289
doyle-his-717	Arthur Conan Doyle	Doyle, Arthur Conan	His Last Bow	His Last Bow	1917	59370
twain-great-678	Mark Twain	Twain, Mark	The Great Revolution In Pitcairn	Great Revolution In Pitcairn	1903	4377
burroughs-warlord-706	Edgar Rice Burroughs	Burroughs, Edgar Rice	The Warlord Of Mars	Warlord Of Mars	1914	57642
